id,speaker,text,portrait_key,emotion,board_node_id,board_display_name,board_description,show_portraits,portrait_layout
object.desk.office.first,책상,책상 위에는 산장 관리 기록과 창고 출입 기록이 놓여 있다. 최현도의 이름이 지나치게 자주 보인다.,,,,,,,
object.desk.office.repeat,책상,이미 살펴본 기록이다. 최현도에게 향하는 증거가 너무 잘 정리되어 있다.,,,,,,,
character.judge.intro.001,판사,진실은 늘 기록보다 늦게 도착하지.,judge,calm,,,,,
object.box.office.first,상자,상자 안에는 창고에서 나온 칼과 낡은 장갑이 들어 있다.,,,,,,,
object.box.office.repeat,상자,이미 확인한 상자다. 칼은 하나뿐이지만 상처는 하나의 손처럼 보이지 않는다.,,,,,,,
character.judge.intro.002,나,기록을 확인하러 왔습니다.,player,neutral,,,,,
character.judge.intro.003,판사,기록만 믿지는 말게. 사람은 기록보다 자주 거짓말을 하니까.,judge,serious,,,,,
character.witness.no_keyword.001,목격자,아직 물어볼 만한 단서가 없습니다.,witness,neutral,,,,,
character.witness.unknown_keyword.001,목격자,그 이야기는 잘 모르겠습니다.,witness,neutral,,,,,
character.witness.alibi.001,목격자,그 시간에는 법원 복도에 있었습니다.,witness,nervous,,,,,
character.witness.alibi.002,목격자,하지만 누군가 계단 쪽으로 뛰어가는 소리는 들었습니다.,witness,nervous,,,,,
character.witness.casual.001,목격자,오늘 법원은 평소보다 조용하네요.,witness,neutral,,,,,
character.witness.casual.002,목격자,별일 없으면 저는 곧 돌아가 보겠습니다.,witness,neutral,,,,,
character.witness.casual.repeat,목격자,아까 말씀드린 것 말고는 특별한 이야기가 없습니다.,witness,neutral,,,,,
character.kang_minhyuk.no_keyword.001,강민혁,묻고 싶은 게 있으면 제대로 준비하고 오시죠.,kang_minhyuk,confident,,,,,
character.kang_minhyuk.unknown_keyword.001,강민혁,그 이야기는 제게 별 의미 없는 소문입니다.,kang_minhyuk,smile,,,,,
character.kang_minhyuk.accident.001,강민혁,그 일은 이미 법적으로 끝난 일입니다. 저도 충분히 힘든 시간을 보냈고요.,kang_minhyuk,defensive,,,,,
character.kang_minhyuk.alibi.001,강민혁,촬영 전후로는 계속 사람들 눈에 띄는 곳에 있었습니다. 숨을 이유가 없었으니까요.,kang_minhyuk,confident,,,,,
character.kang_minhyuk.return.001,강민혁,복귀라기보다는 제 자리로 돌아가는 거죠. 사람들은 결국 진심을 알아봅니다.,kang_minhyuk,smile,,,,,
character.kang_minhyuk.secret.001,강민혁,제 컨디션 관리는 사적인 문제입니다. 촬영과는 아무 상관 없습니다.,kang_minhyuk,defensive,,,,,
character.han_seongmi.no_keyword.001,한성미,아직은 제가 드릴 말씀이 없어요.,han_seongmi,tired,,,,,
character.han_seongmi.unknown_keyword.001,한성미,그 이야기는 잘 모르겠습니다.,han_seongmi,neutral,,,,,
