assistant_dialogue_id,trigger_type,condition_id,disposition,response_dialogue_ids,fallback_text
assistant.manual.basic,ManualTalk,none,basic,,아직 답을 찾았다고 단정하지 말거라. 먼저 초대장이 어떤 흔적을 남겼는지 차분히 살펴보면 좋다.
assistant.manual.tendency1,ManualTalk,none,Tendency1,,눈에 보이는 것부터 정리해보거라. 좋은 추리는 머리보다 발밑의 먼지를 먼저 확인하는 법이지.
assistant.manual.tendency2,ManualTalk,none,Tendency2,,문양과 단서가 서로 맞물리는 것처럼 보여도 같은 초대장에서 시작되었다는 점을 잊지 말거라.
assistant.manual.tendency3,ManualTalk,none,Tendency3,,서두르지 마라. 이미 답에 가까이 있을수록 먼저 고요해지는 법이다.
assistant.alibi_note.basic,EvidenceAcquired,evidence.alibi_note,basic,,그 메모가 정말 우연히 남은 것인지, 누군가 보라고 둔 것인지부터 나누어 보거라.
assistant.medicine.basic,EvidenceAcquired,evidence.kang_private_medicine,basic,,약은 주인을 분명히 드러내는 물건이다. 그러나 누가 언제 바꿀 수 있었는지도 함께 보아야 한다.
assistant.knife.basic,EvidenceAcquired,evidence.single_knife,basic,,흉기가 하나라고 해서 손도 하나였다고 단정하지 말거라.
assistant.choi.basic,EvidenceAcquired,evidence.choi_planted_clues,basic,,너무 친절한 증거는 때로 진실보다 의도를 더 크게 말한다.
assistant.seo.basic,EvidenceAcquired,evidence.seo_production_note,basic,,계획서는 사람을 모으는 법을 보여준다. 누가 무대를 만들었는지 살펴보거라.
assistant.yoon.basic,EvidenceAcquired,evidence.yoon_tool_trace,basic,,도구의 흔적은 손의 습관을 감춘다. 물건만 보지 말고 다루는 사람을 보거라.
assistant.han.basic,EvidenceAcquired,evidence.han_sleeping_pills,basic,,잠을 부르는 물건은 사건 속에서 자주 침묵을 만든다. 그 침묵이 누구에게 유리했는지 보거라.
assistant.park.basic,EvidenceAcquired,evidence.park_door_mark,basic,,문가의 흔적은 이동의 흔적이다. 누가 지나갔는지보다 왜 그 길을 택했는지 생각해보거라.
assistant.lee.basic,EvidenceAcquired,evidence.lee_room_assignment,basic,,방 배정은 공간을 나누는 일이다. 공간을 나누면 사람의 움직임도 함께 나뉜다.
assistant.keyword.medicine,KeywordUnlocked,keyword.medicine,basic,,약 이야기는 먹은 사람보다 바꿀 수 있었던 사람을 먼저 떠올려보거라.
assistant.keyword.weapon,KeywordUnlocked,keyword.weapon,basic,,흉기가 하나라는 말은 쉬운 답처럼 들린다. 쉬운 답일수록 한 번 더 의심해보거라.
assistant.keyword.wound,KeywordUnlocked,keyword.wound,basic,,상처가 제각각이라면 같은 도구 안에서도 다른 마음이 숨어 있을 수 있다.
assistant.keyword.choi,KeywordUnlocked,keyword.choi_suspect,basic,,누군가를 가리키는 안내서가 너무 많다면 그 안내서를 만든 자도 찾아야 한다.
assistant.keyword.planted,KeywordUnlocked,keyword.planted_evidence,basic,,놓인 증거는 범인을 숨기는 동시에 관객을 조종한다. 네가 어디를 보게 되는지 의식해보거라.
assistant.keyword.documentary,KeywordUnlocked,keyword.documentary,basic,,사람들을 한곳에 모을 명분은 사건의 시작점이 되기도 한다.
assistant.keyword.lodge,KeywordUnlocked,keyword.lodge,basic,,장소를 아는 사람은 길을 고를 수 있다. 길을 고를 수 있는 사람은 상황도 고를 수 있지.
assistant.keyword.alibi,KeywordUnlocked,keyword.alibi,basic,,알리바이는 비어 있어도 수상하고, 너무 꼭 맞아도 수상하다.
